date;radiation;production
01/01/2011;42,8;661
02/01/2011;12,3;74
03/01/2011;37,8;754
04/01/2011;27,2;159
05/01/2011;41,3;706
06/01/2011;25,7;410
07/01/2011;5,4;65
08/01/2011;7,2;88
09/01/2011;66,2;1.429
10/01/2011;21;395
11/01/2011;11,9;138
12/01/2011;24,9;498
13/01/2011;37,4;712
14/01/2011;67,7;2.034
15/01/2011;73,1;2.156
16/01/2011;57,7;1.300
17/01/2011;62,8;1.600
18/01/2011;86;2.329
19/01/2011;18,5;284
20/01/2011;33,4;760
21/01/2011;40,4;798
22/01/2011;93,7;2.942
23/01/2011;96,1;3.038
24/01/2011;54,8;1.027
25/01/2011;36,1;656
26/01/2011;38,2;805
27/01/2011;24,8;400
28/01/2011;54,4;1.268
29/01/2011;33,4;551
30/01/2011;27,2;508
31/01/2011;15;219
01/02/2011;36,8;631
02/02/2011;63,6;1.600
03/02/2011;67,1;1.686
04/02/2011;113,5;1.743
05/02/2011;95,3;2.791
06/02/2011;128,1;3.653
07/02/2011;118;3.619
08/02/2011;119,2;3.604
09/02/2011;115,1;3.461
10/02/2011;115,4;3.353
11/02/2011;119;3.132
12/02/2011;50,1;1.086
13/02/2011;16,8;296
14/02/2011;18,5;358
15/02/2011;10,7;224
16/02/2011;10,3;229
17/02/2011;32;463
18/02/2011;65,3;561
19/02/2011;44,5;1.510
20/02/2011;44,5;
21/02/2011;40,9;
22/02/2011;44,9;1.170
23/02/2011;168,3;3.328
24/02/2011;148,1;4.082
25/02/2011;157,7;
26/02/2011;92,4;
27/02/2011;77,7;
28/02/2011;19,7;402
01/03/2011;29,7;595
02/03/2011;61;1.189
03/03/2011;48,8;710
04/03/2011;93,8;2.355
05/03/2011;100;2.746
06/03/2011;49,4;894
07/03/2011;185,7;5.201
08/03/2011;183,4;4.907
09/03/2011;166,8;4.502
10/03/2011;160,7;3.576
11/03/2011;173,3;4.212
12/03/2011;175,7;4.207
13/03/2011;35,6;646
14/03/2011;83,6;1.829
15/03/2011;63,8;1.288
16/03/2011;18,6;285
17/03/2011;114,8;2.107
18/03/2011;105,1;1.521
19/03/2011;101,7;2.119
20/03/2011;223,6;5.401
21/03/2011;175,6;3.950
22/03/2011;209,6;4.838
23/03/2011;219;4.978
24/03/2011;219,4;4.865
25/03/2011;217,8;4.879
26/03/2011;210,9;4.730
27/03/2011;49,5;849
28/03/2011;74,3;1.468
29/03/2011;178,2;3.910
30/03/2011;218,7;5.127
31/03/2011;231;4.865
01/04/2011;131,6;2.539
02/04/2011;235,7;4.926
03/04/2011;242,8;5.005
04/04/2011;182,6;3.698
05/04/2011;190,6;3.921
06/04/2011;243,9;4.811
07/04/2011;241,4;4.750
08/04/2011;158,5;2.975
09/04/2011;257;5.065
10/04/2011;266,6;5.397
11/04/2011;228,6;4.434
12/04/2011;201,1;3.975
13/04/2011;252,8;4.765
14/04/2011;178,9;3.497
15/04/2011;174,7;3.729
16/04/2011;160,8;3.339
17/04/2011;195,9;3.755
18/04/2011;268,4;4.742
19/04/2011;274,4;5.374
20/04/2011;282,5;5.395
21/04/2011;287,6;5.499
22/04/2011;286;5.365
23/04/2011;242;4.702
24/04/2011;257,5;5.027
25/04/2011;185,5;3.304
26/04/2011;232,2;4.335
27/04/2011;124,2;2.275
28/04/2011;74,2;1.439
29/04/2011;58;1.044
30/04/2011;181,2;3.043
01/05/2011;257,4;4.667
02/05/2011;198,6;3.375
03/05/2011;276,7;5.177
04/05/2011;262,2;4.949
05/05/2011;311,9;5.794
06/05/2011;317,2;5.775
07/05/2011;308,1;5.515
08/05/2011;219,3;3.867
09/05/2011;325,5;5.612
10/05/2011;322;5.732
11/05/2011;290,5;5.036
12/05/2011;273,1;4.588
13/05/2011;259,6;4.776
14/05/2011;260,2;4.563
15/05/2011;20,4;331
16/05/2011;253,3;4.289
17/05/2011;253,4;4.543
18/05/2011;310;5.412
19/05/2011;325,3;5.403
20/05/2011;245,6;4.136
21/05/2011;282,9;4.824
22/05/2011;322,9;5.324
23/05/2011;211,5;3.692
24/05/2011;303,5;5.083
25/05/2011;296,8;5.102
26/05/2011;336,2;5.535
27/05/2011;293;5.205
28/05/2011;112,1;2.098
29/05/2011;314,2;5.636
30/05/2011;347,8;5.825
31/05/2011;309,8;5.192
01/06/2011;205,8;3.179
02/06/2011;253,2;4.483
03/06/2011;195,2;3.569
04/06/2011;213,8;3.780
05/06/2011;191,2;3.125
06/06/2011;186,9;3.457
07/06/2011;143,2;2.686
08/06/2011;221,5;4.071
09/06/2011;160,8;2.867
10/06/2011;242,6;4.353
11/06/2011;290,5;5.263
12/06/2011;209,7;3.902
13/06/2011;231,5;4.005
14/06/2011;193,8;2.964
15/06/2011;302,7;5.222
16/06/2011;325;5.257
17/06/2011;199,4;3.281
18/06/2011;259,2;4.322
19/06/2011;91,5;1.482
20/06/2011;318,5;5.351
21/06/2011;349,5;5.638
22/06/2011;326,5;5.403
23/06/2011;292,3;4.802
24/06/2011;50,4;907
25/06/2011;307,5;5.170
26/06/2011;264,1;4.058
27/06/2011;317,1;5.295
28/06/2011;303,2;5.221
29/06/2011;348,7;5.431
30/06/2011;168,7;2.813
01/07/2011;224,4;3.940
02/07/2011;261,5;4.705
03/07/2011;305,7;5.152
04/07/2011;330,2;5.607
05/07/2011;237,3;3.871
06/07/2011;302;5.051
07/07/2011;302,9;5.118
08/07/2011;321,6;5.404
09/07/2011;334,2;5.134
10/07/2011;332,7;5.165
11/07/2011;298,9;4.875
12/07/2011;309;5.069
13/07/2011;287,3;4.553
14/07/2011;274,1;4.332
15/07/2011;105,1;1.807
16/07/2011;259,3;4.495
17/07/2011;241,4;4.122
18/07/2011;190,5;3.540
19/07/2011;235;4.140
20/07/2011;216,5;3.841
21/07/2011;331,3;5.685
22/07/2011;267,5;4.386
23/07/2011;131,9;2.578
24/07/2011;58,6;1.032
25/07/2011;116,7;2.118
26/07/2011;250,2;4.447
27/07/2011;275,5;4.967
28/07/2011;142,4;2.298
29/07/2011;237,2;4.021
30/07/2011;173,2;3.073
31/07/2011;249,1;4.670
01/08/2011;187,5;3.537
02/08/2011;305,7;5.169
03/08/2011;282,7;4.940
04/08/2011;235,2;4.598
05/08/2011;235,1;4.463
06/08/2011;201,3;3.509
07/08/2011;258,9;4.736
08/08/2011;152,2;3.034
09/08/2011;182,5;3.366
10/08/2011;272,2;4.728
11/08/2011;302;5.444
12/08/2011;287;5.072
13/08/2011;248,6;4.491
14/08/2011;287,8;5.021
15/08/2011;249,9;4.493
16/08/2011;269,3;4.894
17/08/2011;288,3;5.116
18/08/2011;283,3;4.955
19/08/2011;270,3;4.468
20/08/2011;272,1;
21/08/2011;270,2;
22/08/2011;259,4;4.729
23/08/2011;261,6;4.615
24/08/2011;266,2;4.791
25/08/2011;261,4;4.706
26/08/2011;260,8;4.699
27/08/2011;204,2;3.981
28/08/2011;184,8;3.344
29/08/2011;260,2;5.036
30/08/2011;219,7;4.404
31/08/2011;237,8;4.633
01/09/2011;186,4;3.596
02/09/2011;229,9;4.414
03/09/2011;248;4.707
04/09/2011;215,1;4.086
05/09/2011;138,4;3.034
06/09/2011;236,5;4.796
07/09/2011;209,3;4.217
08/09/2011;110,8;2.113
09/09/2011;228;4.540
10/09/2011;232,9;4.711
11/09/2011;229,3;4.749
12/09/2011;194,7;3.788
13/09/2011;216,8;4.273
14/09/2011;212,3;4.351
15/09/2011;208,7;3.275
16/09/2011;206,1;
17/09/2011;204,3;
18/09/2011;158;
19/09/2011;26;
20/09/2011;146,4;
21/09/2011;188,5;
22/09/2011;92,6;
23/09/2011;186,2;
24/09/2011;167,3;
25/09/2011;187,2;
26/09/2011;187,9;
27/09/2011;180;2.894
28/09/2011;181,4;3.432
29/09/2011;187,2;4.332
30/09/2011;188;4.397
01/10/2011;186,6;4.300
02/10/2011;180;3.973
03/10/2011;183;4.196
04/10/2011;157,4;4.127
05/10/2011;162,3;3.790
06/10/2011;166,8;3.746
07/10/2011;6,6;60
08/10/2011;106,7;2.224
09/10/2011;163,9;3.977
10/10/2011;97,8;2.079
11/10/2011;139,2;3.255
12/10/2011;94;1.853
13/10/2011;21,2;392
14/10/2011;163,5;4.465
15/10/2011;162,4;4.475
16/10/2011;141;3.529
17/10/2011;150,3;4.208
18/10/2011;146,8;4.052
19/10/2011;31,2;590
20/10/2011;5,1;65
21/10/2011;84,1;1.815
22/10/2011;42,7;740
23/10/2011;32,7;561
24/10/2011;48,2;869
25/10/2011;35,8;770
26/10/2011;16,8;257
27/10/2011;28,8;494
28/10/2011;47;1.004
29/10/2011;25,1;391
30/10/2011;40,2;671
31/10/2011;75,5;1.554
01/11/2011;21,7;354
02/11/2011;18,7;298
03/11/2011;28,1;477
04/11/2011;46,7;1.024
05/11/2011;69,9;1.516
06/11/2011;33,3;523
07/11/2011;33,2;717
08/11/2011;22,9;383
09/11/2011;52,1;1.154
10/11/2011;14,3;223
11/11/2011;44,3;1.026
12/11/2011;82,9;1.466
13/11/2011;78,5;2.102
14/11/2011;58,2;753
15/11/2011;40,9;498
16/11/2011;49,2;673
17/11/2011;36,8;22
18/11/2011;31,6;160
19/11/2011;28,5;340
20/11/2011;15,6;210
21/11/2011;14;213
22/11/2011;23,3;347
23/11/2011;12,8;203
24/11/2011;18,4;296
25/11/2011;22,9;414
26/11/2011;15,2;220
27/11/2011;51,4;1.197
28/11/2011;85,4;1.677
29/11/2011;41,3;
30/11/2011;42,7;484
01/12/2011;49;442
02/12/2011;15,2;181
03/12/2011;23,9;460
04/12/2011;57,5;1.325
05/12/2011;14,5;185
06/12/2011;57,5;1.415
07/12/2011;24,6;488
08/12/2011;76;2.281
09/12/2011;26;494
10/12/2011;34;594
11/12/2011;15;231
12/12/2011;9,6;114
13/12/2011;38,9;918
14/12/2011;9,4;166
15/12/2011;15,3;203
16/12/2011;15,6;230
17/12/2011;28,3;529
18/12/2011;22,8;437
19/12/2011;20,4;74
20/12/2011;35,9;403
21/12/2011;40,3;649
22/12/2011;34,3;502
23/12/2011;51,7;1.068
24/12/2011;13,4;119
25/12/2011;62,9;1.292
26/12/2011;29,6;525
27/12/2011;22,9;379
28/12/2011;8,4;126
29/12/2011;22;295
30/12/2011;17,8;263
31/12/2011;43;765
01/01/2012;55,1;1.353
