date;radiation;production
2011-01-01;42,8;661.0
2011-01-02;12,3;74.0
2011-01-03;37,8;754.0
2011-01-04;27,2;159.0
2011-01-05;41,3;706.0
2011-01-06;25,7;410.0
2011-01-07;5,4;65.0
2011-01-08;7,2;88.0
2011-01-09;66,2;1429.0
2011-01-10;21;395.0
2011-01-11;11,9;138.0
2011-01-12;24,9;498.0
2011-01-13;37,4;712.0
2011-01-14;67,7;2034.0
2011-01-15;73,1;2156.0
2011-01-16;57,7;1300.0
2011-01-17;62,8;1600.0
2011-01-18;86;2329.0
2011-01-19;18,5;284.0
2011-01-20;33,4;760.0
2011-01-21;40,4;798.0
2011-01-22;93,7;2942.0
2011-01-23;96,1;3038.0
2011-01-24;54,8;1027.0
2011-01-25;36,1;656.0
2011-01-26;38,2;805.0
2011-01-27;24,8;400.0
2011-01-28;54,4;1268.0
2011-01-29;33,4;551.0
2011-01-30;27,2;508.0
2011-01-31;15;219.0
2011-02-01;36,8;631.0
2011-02-02;63,6;1600.0
2011-02-03;67,1;1686.0
2011-02-04;113,5;1743.0
2011-02-05;95,3;2791.0
2011-02-06;128,1;3653.0
2011-02-07;118;3619.0
2011-02-08;119,2;3604.0
2011-02-09;115,1;3461.0
2011-02-10;115,4;3353.0
2011-02-11;119;3132.0
2011-02-12;50,1;1086.0
2011-02-13;16,8;296.0
2011-02-14;18,5;358.0
2011-02-15;10,7;224.0
2011-02-16;10,3;229.0
2011-02-17;32;463.0
2011-02-18;65,3;561.0
2011-02-19;44,5;1510.0
2011-02-20;44,5;
2011-02-21;40,9;
2011-02-22;44,9;1170.0
2011-02-23;168,3;3328.0
2011-02-24;148,1;4082.0
2011-02-25;157,7;
2011-02-26;92,4;
2011-02-27;77,7;
2011-02-28;19,7;402.0
2011-03-01;29,7;595.0
2011-03-02;61;1189.0
2011-03-03;48,8;710.0
2011-03-04;93,8;2355.0
2011-03-05;100;2746.0
2011-03-06;49,4;894.0
2011-03-07;185,7;5201.0
2011-03-08;183,4;4907.0
2011-03-09;166,8;4502.0
2011-03-10;160,7;3576.0
2011-03-11;173,3;4212.0
2011-03-12;175,7;4207.0
2011-03-13;35,6;646.0
2011-03-14;83,6;1829.0
2011-03-15;63,8;1288.0
2011-03-16;18,6;285.0
2011-03-17;114,8;2107.0
2011-03-18;105,1;1521.0
2011-03-19;101,7;2119.0
2011-03-20;223,6;5401.0
2011-03-21;175,6;3950.0
